"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53543","Verify Paint and Misc Sections Are Removed After Deleting EXCHANGED Parts","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","25337","CSR Sign In","csr-setup","2026-06-29","passed","2026-06-29","","auth-setup\auth.csr.setup.ts","",""
"","39843","Verify Paint and Misc Sections Are Removed When Changing EXCHANGED Parts to NEW Parts","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","40596","Quote Creation","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","50726","Verify Paint and Misc Sections Are Removed After Deleting USED Parts","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","47314","Verify Paint and Misc Sections Are Visible when changned NEW Parts to USED Parts","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","40884","Verify Paint and Misc Sections Are Removed When Changing USED Parts to NEW Parts","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
"","49531","Verify Paint and Misc Sections Are Visible when changned NEW Parts to EXCHANGED Parts","flexiquote-csr","2026-06-29","passed","2026-06-29","NTAR Quote","tests\regression\ntar.csr.spec.ts","",""
