"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45058","Load Authority","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","48435","Submit Quote to ORM","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","41411","Addition of Extra Quote Item By Insurer","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","17856","CSR Sign In","csr-setup","2026-07-23","passed","2026-07-23","","auth-setup\auth.csr.setup.ts","",""
"","32505","Load RFQ","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","40775","Simultaneously Load Authority","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","32737","Submit Tax Invoice","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
"","33360","Load Payment Authorisation","flexiquote-csr","2026-07-23","passed","2026-07-23","ORM Integration","tests\regression\orm.csr.spec.ts","",""
